SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Meisterschaft";"";"4. Liga / Gruppe  3";"126148";"So";"09.05.2027";"13:00";"FC Weissenstein Bern b";"4.";"10323";"C.F. España";"4.";"10336";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127308";"Fr";"21.05.2027";"19:30";"Team Chiesetau (FC GS)";"Sen.30+";"10434";"C.F. España / Italiana";"Sen.30+";"10336";"Arniacher, Grosshöchstetten - Hauptplatz";"Arniacher";"Grosshöchstetten";"Hauptplatz";
"Meisterschaft";"";"Senioren 40+ / MFV / Gruppe  2";"127367";"Sa";"22.05.2027";"16:00";"FC Galicia";"Sen.40+";"10351";"C.F. España / Italiana";"Sen.40+";"10336";"Wyler, Bern - Fussballfeld Wyler";"Wyler";"Bern";"Fussballfeld Wyler";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126159";"So";"23.05.2027";"13:00";"FK Drina Bern";"4.";"10352";"C.F. España";"4.";"10336";"Allmend Bern, Bern - Kunstrasenfeld Allmend 1";"Allmend Bern";"Bern";"Kunstrasenfeld Allmend 1";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128516";"So";"23.05.2027";"15:00";"SC Holligen 94";"5.";"10318";"C.F. España";"5.";"10336";"Steigerhubel, Bern - Fussballfeld Steigerhubel 1";"Steigerhubel";"Bern";"Fussballfeld Steigerhubel 1";
"Meisterschaft";"";"Senioren 40+ / MFV / Gruppe  2";"127370";"Mo";"24.05.2027";"19:30";"C.F. España / Italiana";"Sen.40+";"10336";"FC Weissenstein Bern";"Sen.40+";"10323";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127310";"Mo";"24.05.2027";"19:30";"C.F. España / Italiana";"Sen.30+";"10336";"SC Ittigen / Münchenbuchsee";"Sen.30+";"10335";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126161";"So";"30.05.2027";"11:00";"C.F. España";"4.";"10336";"FC Wabern";"4.";"10382";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128517";"So";"30.05.2027";"13:00";"C.F. España";"5.";"10336";"FC Köniz";"5.";"10309";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126170";"Sa";"05.06.2027";"15:00";"NK Tomislavgrad Bern";"4.";"10392";"C.F. España";"4.";"10336";"Holenacker, Bern - Fussballfeld Holenacker 1";"Holenacker";"Bern";"Fussballfeld Holenacker 1";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128525";"So";"06.06.2027";"12:30";"FC Länggasse";"5.";"10311";"C.F. España";"5.";"10336";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 1";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 1";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126174";"So";"13.06.2027";"11:00";"C.F. España";"4.";"10336";"SC Holligen 94";"4.";"10318";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128528";"So";"13.06.2027";"13:00";"C.F. España";"5.";"10336";"SC Worb a";"5.";"10328";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
