SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.F Stärkeklasse 3";"802977";"Sa";"12.09.2026";"";"Organisator: FC Sternenberg";"";"";"Teams: FC Sternenberg grün 1, FC Sternenberg grün 2, FC Grosshöchstetten-Schlosswil a, FC Grosshöchstetten-Schlosswil c, FC Grosshöchstetten-Schlosswil b, SC Wohlensee b1, SC Wohlensee b2, AFC BRO, FC Muri-Gümligen d, FC Bern 1894 d, C.F. España a1, C.F. España a2";"";"";"Schlatt, Gasel - Hauptplatz";"Schlatt";"Gasel";"Hauptplatz";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.E Stärkeklasse 3";"802677";"Sa";"12.09.2026";"11:15";"Organisator: SC Bümpliz 78";"";"";"Teams: SC Bümpliz 78 c, AFC BRO, FC Sternenberg weiss 1, FC Grosshöchstetten-Schlosswil b, FC Sternenberg rot, C.F. España, FC Wabern gelb 2, FC Sternenberg weiss 2";"";"";"Bodenweid, Bern - Kunstrasenfeld Bodenweid 1";"Bodenweid";"Bern";"Kunstrasenfeld Bodenweid 1";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128451";"So";"13.09.2026";"10:30";"FC Jedinstvo";"5.";"10355";"C.F. España";"5.";"10336";"Bodenweid, Bern - Kunstrasenfeld Bodenweid 3";"Bodenweid";"Bern";"Kunstrasenfeld Bodenweid 3";
"Turnier Junior*innen E-F-G / Brack play more football";"";"Jun.G";"803023";"So";"13.09.2026";"10:30";"Organisator: C.F. España";"";"";"Teams: C.F. España, FC Länggasse a1, FC Länggasse a2, FC Länggasse a3, FC Wyler Bern rot, FC Wyler Bern blau, FC Wyler Bern weiss, FC Wyler Bern schwarz, FC Muri-Gümligen a1, FC Muri-Gümligen a2, FC Köniz weiss";"";"";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Junioren D-7 / MFV - Herbstrunde / Gruppe  5";"137558";"So";"13.09.2026";"11:00";"C.F. España";"Jun.D-7";"10336";"FC Sternenberg b";"Jun.D-7";"10397";"Weissenstein, Bern - Kunstrasenfeld Weissenstein";"Weissenstein";"Bern";"Kunstrasenfeld Weissenstein";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126081";"So";"13.09.2026";"13:00";"FC Jedinstvo";"4.";"10355";"C.F. España";"4.";"10336";"Bodenweid, Bern - Kunstrasenfeld Bodenweid 3";"Bodenweid";"Bern";"Kunstrasenfeld Bodenweid 3";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126082";"Sa";"19.09.2026";"19:30";"C.F. España";"4.";"10336";"FC Weissenstein Bern b";"4.";"10323";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128461";"So";"27.09.2026";"12:00";"C.F. España";"5.";"10336";"SC Holligen 94";"5.";"10318";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127272";"Fr";"02.10.2026";"20:15";"FC Goldstern";"Sen.30+";"10306";"C.F. España / Italiana";"Sen.30+";"10336";"Sportanlage Bremgarten bB, Bremgarten - Hauptplatz";"Sportanlage Bremgarten bB";"Bremgarten";"Hauptplatz";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126095";"Sa";"03.10.2026";"14:00";"FC Wabern";"4.";"10382";"C.F. España";"4.";"10336";"Lerbermatt, Köniz/Wabern - Hauptplatz";"Lerbermatt";"Köniz/Wabern";"Hauptplatz";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128462";"So";"04.10.2026";"10:30";"FC Köniz";"5.";"10309";"C.F. España";"5.";"10336";"Ried - Niederwangen (Gemeinde Köniz),   - Kunststoffrasen";"Ried - Niederwangen (Gemeinde Köniz)";" ";"Kunststoffrasen";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127273";"Mo";"05.10.2026";"19:30";"C.F. España / Italiana";"Sen.30+";"10336";"SC Wohlensee";"Sen.30+";"10390";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
